iter	RMSE
226	18.27645789
227	18.27288002
228	18.26925891
229	18.26637761
230	18.26337716
231	18.25778734
232	18.25503355
233	18.25236697
234	18.24832093
235	18.24473855
236	18.24262962
237	18.23889728
238	18.23465358
239	18.2309446
240	18.22750032
241	18.22555336
242	18.2211645
243	18.21912576
244	18.21761237
245	18.21408813
246	18.21142489
247	18.20888172
248	18.2067893
249	18.20301281
250	18.20056284
251	18.19761908
252	18.19290667
253	18.18922161
254	18.1864458
255	18.18338211
256	18.18204923
257	18.17850475
258	18.17605455
259	18.17238673
260	18.16925019
261	18.16698942
262	18.16393533
263	18.1604764
264	18.15566896
265	18.15180851
266	18.1484259
267	18.14502647
268	18.14008381
269	18.13588704
270	18.13329387
271	18.13145169
272	18.12885907
273	18.12524796
274	18.12241669
275	18.12091724
276	18.11755713
277	18.11218481
278	18.108898
279	18.10651988
280	18.10225641
281	18.09752704
282	18.09230239
283	18.08879516
284	18.08614117
285	18.08303758
286	18.07755587
287	18.07333409
288	18.07098255
289	18.06674939
290	18.06376671
291	18.06011362
292	18.05705123
293	18.05440377
294	18.05106144
295	18.04710295
296	18.04527116
297	18.03960399
298	18.0354542
299	18.03283575
300	18.03039942
301	18.0279504
302	18.023929
303	18.01911047
304	18.01581685
305	18.01179204
306	18.00923274
307	18.00600248
308	18.00245547
309	17.99876902
310	17.99711248
311	17.99407414
312	17.99164091
313	17.98868249
314	17.98570809
315	17.98295167
316	17.97937551
317	17.97607847
318	17.97388991
319	17.96923545
320	17.96711213
321	17.96410657
322	17.95929486
323	17.95763375
324	17.95441773
325	17.95117588
326	17.94826361
327	17.94554419
328	17.9431891
329	17.93963278
330	17.9375293
331	17.93519699
332	17.93346289
333	17.93038324
334	17.92743111
335	17.92349042
336	17.92142235
337	17.91795919
338	17.91548335
339	17.9128874
340	17.9104256
341	17.90778073
342	17.90533961
343	17.90092926
344	17.89748959
345	17.89587934
346	17.89283116
347	17.88985234
348	17.88717321
349	17.88459423
350	17.88119316
351	17.87979583
352	17.87634971
353	17.87143859
354	17.86968931
355	17.86546165
356	17.86142871
357	17.85687745
358	17.8550668
359	17.853305
360	17.85124393
361	17.84902288
362	17.84421808
363	17.8405419
364	17.83856549
365	17.83689751
366	17.83358085
367	17.83150082
368	17.82801657
369	17.82534492
370	17.82335794
371	17.82071963
372	17.81763519
373	17.81431668
374	17.81070185
375	17.80804423
376	17.80473509
377	17.80313575
378	17.80060301
379	17.79799729
380	17.79505722
381	17.79301634
382	17.79035337
383	17.7881928
384	17.78549069
385	17.78241822
386	17.78027321
387	17.77631502
388	17.77312322
389	17.76940808
390	17.7667664
391	17.76432707
392	17.76117051
393	17.75794877
394	17.7547374
395	17.75221878
396	17.75136649
397	17.74863274
398	17.7447679
399	17.74197912
400	17.73948463
401	17.73781838
402	17.73552923
403	17.73273006
404	17.72924917
405	17.72668222
406	17.72484383
407	17.72291198
408	17.71854541
409	17.71461878
410	17.71345341
411	17.71145819
412	17.70988473
413	17.70804892
414	17.70501835
415	17.70263027
416	17.69838701
417	17.69503679
418	17.69254618
419	17.69056199
420	17.68894451
421	17.6859414
422	17.68316512
423	17.6803564
424	17.67722474
425	17.67443932
426	17.67178302
427	17.6684795
428	17.66541247
429	17.66370389
430	17.65997986
431	17.65805489
432	17.65571455
433	17.65253163
434	17.65008605
435	17.6478273
436	17.64540989
437	17.64365928
438	17.64235454
439	17.6402525
440	17.63757216
441	17.6358676
442	17.63421693
443	17.63194134
444	17.63011657
445	17.62862479
446	17.62461189
447	17.62227007
448	17.61898087
449	17.61695838
450	17.6147924
451	17.61178866
452	17.60987131
453	17.60747547
454	17.60417517
455	17.60185286
456	17.59876908
457	17.59536276
458	17.59195002
459	17.58671337
460	17.5836865
461	17.58143316
462	17.57760256
463	17.57475376
464	17.57258122
465	17.56999264
466	17.56769119
467	17.56624156
468	17.56352078
469	17.56158271
470	17.55977568
471	17.55677342
472	17.55284318
473	17.55011606
474	17.54816411
475	17.54550659
476	17.54247449
477	17.54020212
478	17.53746184
479	17.53472174
480	17.53329955
481	17.53086585
482	17.5281528
483	17.52604363
484	17.52476251
485	17.52290483
486	17.52112691
487	17.5191478
488	17.51665553
489	17.51453636
490	17.51291296
491	17.50966408
492	17.50536744
493	17.5028143
494	17.50098591
495	17.49909933
496	17.49691617
497	17.49397591
498	17.49222434
499	17.48991519
500	17.48802883
501	17.48505854
502	17.48203045
503	17.48086188
504	17.47900484
505	17.47685966
506	17.47505141
507	17.47233466
508	17.47051391
509	17.46869233
510	17.46703342
511	17.46497631
512	17.46274153
513	17.45997308
514	17.45717924
515	17.45372734
516	17.45021859
517	17.44645543
518	17.44343014
519	17.44055384
520	17.43820121
521	17.43573575
522	17.43365054
523	17.43108895
524	17.42846671
525	17.42706419
526	17.42505349
527	17.42299496
528	17.41922126
529	17.41578729
530	17.41373485
531	17.41217571
532	17.40994363
533	17.40733965
534	17.40613392
535	17.40224763
536	17.39909271
537	17.39706189
538	17.39466948
539	17.39147349
540	17.38977469
541	17.3860292
542	17.38407397
543	17.38291042
544	17.38064815
545	17.37894442
546	17.37659803
547	17.37386606
548	17.37159417
549	17.36972497
550	17.36829454
551	17.36685886
552	17.36420967
553	17.36128773
554	17.35958079
555	17.35639364
556	17.35469272
557	17.35308404
558	17.3512324
559	17.34784897
560	17.3445997
561	17.34268075
562	17.340434
563	17.33857336
564	17.33681015
565	17.33532051
566	17.33300306
567	17.33112084
568	17.32991558
569	17.32675745
570	17.32379003
571	17.32160057
572	17.31977957
573	17.31704047
574	17.3149327
575	17.31361501
576	17.31160603
577	17.30914884
578	17.3078658
579	17.30561026
580	17.30333523
581	17.30116546
582	17.29843901
583	17.29621791
584	17.29338867
585	17.29151808
586	17.29034628
587	17.2875507
588	17.28627502
589	17.28390285
590	17.28058921
591	17.27788131
592	17.27570567
593	17.2734696
594	17.27018391
595	17.26848631
596	17.26592049
597	17.26394764
598	17.26093275
599	17.25820363
600	17.25524211
601	17.25394137
602	17.25143064
603	17.24906135
604	17.24750587
605	17.2452142
606	17.24367426
607	17.24179388
608	17.23999169
609	17.23850986
610	17.23593996
611	17.23395517
612	17.23202916
613	17.23037663
614	17.22798804
615	17.22475385
616	17.22261177
617	17.22054009
618	17.21825375
619	17.21685124
620	17.21507897
621	17.21282516
622	17.20993048
623	17.20871481
624	17.20758883
625	17.20500916
626	17.20353084
627	17.20159845
628	17.19973416
629	17.19734268
630	17.19467908
631	17.19240559
632	17.18971771
633	17.18635644
634	17.18465249
635	17.18236644
636	17.18004454
637	17.17825325
638	17.17642937
639	17.17439933
640	17.1726752
641	17.17092587
642	17.1685695
643	17.1665153
644	17.16509675
645	17.16344088
646	17.16188001
647	17.15950675
648	17.1566844
649	17.15418069
650	17.15233787
651	17.15038895
652	17.14852305
653	17.14725142
654	17.14532937
655	17.14419694
656	17.14190183
657	17.13951341
658	17.13696827
659	17.1348142
660	17.13343892
661	17.13163073
662	17.13075187
663	17.12828266
664	17.12629968
665	17.12406475
666	17.12272246
667	17.12076155
668	17.118997
669	17.11679206
670	17.11459908
671	17.11247687
672	17.10966618
673	17.10787842
674	17.10575232
675	17.10323887
676	17.10191328
677	17.09967336
678	17.09711717
679	17.09511741
680	17.09361528
681	17.09111593
682	17.08919913
683	17.08764611
684	17.08543298
685	17.08332402
686	17.08187502
687	17.08053242
688	17.07777046
689	17.07564055
690	17.07394857
691	17.07182624
692	17.06944372
693	17.0678639
694	17.06574399
695	17.06433664
696	17.06225361
697	17.06046743
698	17.05860863
699	17.05612652
700	17.05370726
701	17.05157414
702	17.04911528
703	17.04728509
704	17.04550327
705	17.04395291
706	17.04255448
707	17.0407977
708	17.03871543
709	17.03674096
710	17.03520158
711	17.03368181
712	17.03183092
713	17.02926669
714	17.02714975
715	17.02497728
716	17.02225286
717	17.02025003
718	17.01781572
719	17.015958
720	17.01464904
721	17.01262597
722	17.01053658
723	17.0085287
724	17.00747056
725	17.00611758
726	17.00480892
727	17.00285978
728	17.00119443
729	16.99916195
730	16.9968419
731	16.99498719
732	16.99267426
733	16.99112768
734	16.98983508
735	16.98868912
736	16.98723151
737	16.98548415
738	16.98407712
739	16.98263605
740	16.98004842
741	16.97738189
742	16.97553521
743	16.97414264
744	16.97205565
745	16.97006241
746	16.96802237
747	16.96544496
748	16.96314799
749	16.96216126
750	16.96025513
751	16.95855562
752	16.95640373
753	16.95441488
754	16.95211385
755	16.94976505
756	16.94824571
757	16.94667455
758	16.94506979
759	16.94236409
760	16.94033844
761	16.93851449
762	16.93587981
763	16.93434531
764	16.93098224
765	16.9281435
766	16.92583619
767	16.9226441
768	16.9215522
769	16.91883586
770	16.91787715
771	16.9148736
772	16.91303284
773	16.91079167
774	16.90885232
775	16.90799064
776	16.90588716
777	16.90345217
778	16.90215613
779	16.89980493
780	16.89793349
781	16.89627746
782	16.8946664
783	16.89157832
784	16.88934826
785	16.88827762
786	16.88607868
787	16.88457441
788	16.88176681
789	16.87971997
790	16.87729635
791	16.87601134
792	16.87356343
793	16.87108004
794	16.86900692
795	16.86683305
796	16.86497521
797	16.86261214
798	16.86127404
799	16.85903163
800	16.85717193
801	16.85521475
802	16.8527425
803	16.84966923
804	16.84706507
805	16.84448438
806	16.84289054
807	16.84119223
808	16.83832055
809	16.83653693
810	16.83488495
811	16.83286714
812	16.83095374
813	16.82879108
814	16.82799977
815	16.8266785
816	16.8251272
817	16.82176154
818	16.8203759
819	16.81896285
820	16.81691461
821	16.81476383
822	16.81309978
823	16.81079488
824	16.80826752
825	16.80666852
826	16.80509232
827	16.80238181
828	16.80119764
829	16.79916639
830	16.79789297
831	16.7964363
832	16.79373689
833	16.79105761
834	16.78974608
835	16.78682183
836	16.78363076
837	16.78099632
838	16.77888824
839	16.77705534
840	16.77570908
841	16.7730669
842	16.77109685
843	16.76880515
844	16.76760416
845	16.76612575
846	16.76480904
847	16.76258591
848	16.76093363
849	16.75941226
850	16.75714945
851	16.75486501
852	16.75360776
853	16.75207036
854	16.74997169
855	16.74825141
856	16.74583589
857	16.74343171
858	16.7418461
859	16.74016371
860	16.73755795
861	16.73659319
862	16.73521806
863	16.73251857
864	16.7302266
865	16.72889433
866	16.72766991
867	16.72546408
868	16.72366631
869	16.72145
870	16.72039484
871	16.71788243
872	16.71606043
873	16.71371369
874	16.71186515
875	16.70981149
876	16.70880593
877	16.7067734
878	16.70475957
879	16.70338492
880	16.70201299
881	16.70035063
882	16.69827235
883	16.69591752
884	16.69513784
885	16.69355947
886	16.69165177
887	16.69014747
888	16.68721708
889	16.68522208
890	16.68358541
891	16.6821643
892	16.68051863
893	16.67875992
894	16.67599126
895	16.67479459
896	16.67283381
897	16.67131179
898	16.66972083
899	16.66802736
900	16.66699778
901	16.66553985
902	16.66434765
903	16.66279868
904	16.66065422
905	16.65946454
906	16.65765205
907	16.65589389
908	16.65452406
909	16.65301569
910	16.65107579
911	16.64900397
912	16.64725729
913	16.64528857
914	16.64353072
915	16.64209871
916	16.64060182
917	16.63916991
918	16.63727189
919	16.63566669
920	16.63417664
921	16.6323385
922	16.63121988
923	16.62889666
924	16.62686264
925	16.62592124
926	16.62450582
927	16.62274323
928	16.62043614
929	16.61884101
930	16.6171145
931	16.61430163
932	16.61247262
933	16.61083552
934	16.60995809
935	16.60872904
936	16.6074432
937	16.60636065
938	16.60456274
939	16.60256845
940	16.60016854
941	16.59901854
942	16.59719877
943	16.59523267
944	16.59363227
945	16.5922563
946	16.58955748
947	16.58794846
948	16.58607511
949	16.58486165
950	16.58282096
951	16.58058525
952	16.57875072
953	16.57791535
954	16.57600856
955	16.57431387
956	16.57270392
957	16.57126827
958	16.56964193
959	16.56805526
960	16.56632796
961	16.56459025
962	16.56329185
963	16.56192435
964	16.55983826
965	16.5589456
966	16.5575534
967	16.55565352
968	16.55324322
969	16.55136729
970	16.54968298
971	16.54721524
972	16.54507093
973	16.54325882
974	16.54100194
975	16.54005218
976	16.53728452
977	16.53582452
978	16.533667
979	16.53151364
980	16.53047664
981	16.52896556
982	16.5280115
983	16.52631453
984	16.5252852
985	16.52300126
986	16.52144275
987	16.52013859
988	16.51858037
989	16.51679768
990	16.51522362
991	16.51375623
992	16.51191893
993	16.50962692
994	16.50779833
995	16.5059022
996	16.50420748
997	16.50270273
998	16.50129195
999	16.49881997
