iter	Passed	Remaining
516	1968	1839
517	1974	1837
518	1978	1833
519	1981	1829
520	1985	1825
521	1989	1821
522	1993	1818
523	1997	1814
524	2001	1810
525	2004	1806
526	2008	1802
527	2012	1798
528	2016	1795
529	2020	1791
530	2023	1787
531	2026	1783
532	2030	1778
533	2034	1775
534	2038	1771
535	2042	1767
536	2045	1763
537	2049	1759
538	2053	1756
539	2056	1751
540	2059	1747
541	2063	1743
542	2066	1739
543	2069	1735
544	2073	1730
545	2076	1726
546	2080	1722
547	2083	1718
548	2086	1714
549	2090	1710
550	2093	1706
551	2097	1702
552	2100	1697
553	2104	1694
554	2108	1690
555	2112	1686
556	2115	1682
557	2119	1678
558	2123	1674
559	2126	1670
560	2129	1666
561	2132	1662
562	2136	1658
563	2140	1654
564	2143	1650
565	2146	1646
566	2150	1642
567	2154	1638
568	2157	1634
569	2160	1630
570	2164	1625
571	2167	1621
572	2170	1617
573	2173	1613
574	2176	1608
575	2179	1604
576	2182	1600
577	2186	1596
578	2189	1591
579	2192	1587
580	2195	1583
581	2199	1579
582	2202	1575
583	2205	1571
584	2209	1567
585	2212	1562
586	2215	1559
587	2219	1554
588	2221	1550
589	2225	1546
590	2231	1544
591	2235	1540
592	2238	1536
593	2241	1531
594	2244	1527
595	2248	1523
596	2251	1520
597	2254	1515
598	2258	1511
599	2262	1508
600	2266	1504
601	2269	1500
602	2273	1496
603	2277	1492
604	2280	1488
605	2284	1485
606	2287	1480
607	2290	1477
608	2294	1473
609	2297	1468
610	2301	1465
611	2305	1461
612	2309	1457
613	2313	1454
614	2317	1450
615	2320	1446
616	2324	1442
617	2328	1439
618	2332	1435
619	2335	1431
620	2340	1428
621	2344	1424
622	2348	1421
623	2351	1416
624	2355	1413
625	2359	1409
626	2362	1405
627	2365	1401
628	2368	1397
629	2372	1393
630	2375	1389
631	2379	1385
632	2382	1381
633	2385	1377
634	2389	1373
635	2392	1369
636	2396	1365
637	2399	1361
638	2403	1357
639	2406	1353
640	2409	1349
641	2413	1345
642	2416	1341
643	2419	1337
644	2422	1333
645	2425	1329
646	2428	1324
647	2431	1320
648	2435	1317
649	2439	1313
650	2443	1309
651	2446	1305
652	2450	1302
653	2453	1298
654	2457	1294
655	2460	1290
656	2463	1286
657	2467	1282
658	2470	1278
659	2473	1274
660	2477	1270
661	2481	1266
662	2485	1263
663	2488	1259
664	2492	1255
665	2495	1251
666	2499	1247
667	2503	1244
668	2506	1239
669	2509	1235
670	2512	1231
671	2515	1227
672	2521	1225
673	2525	1221
674	2528	1217
675	2531	1213
676	2535	1209
677	2539	1206
678	2542	1202
679	2546	1198
680	2549	1194
681	2552	1190
682	2556	1186
683	2559	1182
684	2562	1178
685	2568	1175
686	2571	1171
687	2574	1167
688	2577	1163
689	2581	1159
690	2584	1155
691	2588	1151
692	2592	1148
693	2595	1144
694	2598	1140
695	2601	1136
696	2605	1132
697	2608	1128
698	2611	1124
699	2617	1121
700	2620	1117
701	2623	1113
702	2626	1109
703	2631	1106
704	2634	1102
705	2638	1098
706	2641	1094
707	2644	1090
708	2647	1086
709	2651	1082
710	2654	1078
711	2657	1074
712	2660	1070
713	2663	1067
714	2666	1063
715	2670	1059
716	2673	1055
717	2676	1051
718	2681	1048
719	2685	1044
720	2690	1040
721	2693	1036
722	2698	1033
723	2701	1029
724	2704	1025
725	2707	1021
726	2713	1019
727	2716	1015
728	2720	1011
729	2723	1007
730	2727	1003
731	2730	999
732	2734	995
733	2736	991
734	2740	987
735	2743	984
736	2746	980
737	2750	976
738	2753	972
739	2756	968
740	2759	964
741	2763	960
742	2767	957
743	2770	953
744	2773	949
745	2776	945
746	2779	941
747	2783	937
748	2787	934
749	2790	930
750	2794	926
751	2800	923
752	2804	919
753	2807	915
754	2810	912
755	2815	908
756	2818	904
757	2821	900
758	2826	897
759	2829	893
760	2832	889
761	2835	885
762	2838	881
763	2842	878
764	2847	874
765	2850	870
766	2853	866
767	2857	863
768	2860	859
769	2864	855
770	2867	851
771	2871	848
772	2874	844
773	2877	840
774	2882	836
775	2885	832
776	2888	828
777	2892	825
778	2895	821
779	2899	817
780	2902	813
781	2905	809
782	2908	806
783	2912	802
784	2918	799
785	3023	823
786	3030	820
787	3034	816
788	3052	816
789	3057	812
790	3061	808
791	3064	804
792	3067	800
793	3071	796
794	3074	792
795	3078	789
796	3081	784
797	3085	780
798	3088	776
799	3092	773
800	3095	769
801	3099	765
802	3102	761
803	3105	757
804	3109	753
805	3112	749
806	3115	745
807	3119	741
808	3123	737
809	3126	733
810	3129	729
811	3132	725
812	3136	721
813	3139	717
814	3142	713
815	3146	709
816	3149	705
817	3153	701
818	3156	697
819	3160	693
820	3163	689
821	3166	685
822	3170	681
823	3173	677
824	3177	674
825	3180	670
826	3184	666
827	3187	662
828	3191	658
829	3195	654
830	3199	650
831	3202	646
832	3206	642
833	3210	638
834	3214	635
835	3217	631
836	3223	627
837	3227	623
838	3232	620
839	3239	617
840	3244	613
841	3249	609
842	3254	606
843	3258	602
844	3262	598
845	3267	594
846	3271	590
847	3274	587
848	3278	583
849	3282	579
850	3285	575
851	3290	571
852	3293	567
853	3298	563
854	3302	560
855	3305	556
856	3309	552
857	3313	548
858	3317	544
859	3321	540
860	3325	536
861	3330	533
862	3334	529
863	3338	525
864	3342	521
865	3347	517
866	3352	514
867	3356	510
868	3363	507
869	3368	503
870	3373	499
871	3377	495
872	3381	491
873	3385	488
874	3389	484
875	3394	480
876	3397	476
877	3401	472
878	3404	468
879	3408	464
880	3412	460
881	3416	457
882	3419	453
883	3422	449
884	3426	445
885	3430	441
886	3433	437
887	3437	433
888	3441	429
889	3444	425
890	3448	421
891	3451	417
892	3455	414
893	3459	410
894	3463	406
895	3467	402
896	3471	398
897	3475	394
898	3479	390
899	3484	387
900	3487	383
901	3491	379
902	3494	375
903	3498	371
904	3501	367
905	3505	363
906	3509	359
907	3513	355
908	3516	352
909	3520	348
910	3524	344
911	3528	340
912	3532	336
913	3536	332
914	3541	328
915	3544	325
916	3548	321
917	3552	317
918	3557	313
919	3560	309
920	3564	305
921	3567	301
922	3571	297
923	3575	294
924	3580	290
925	3583	286
926	3587	282
927	3591	278
928	3594	274
929	3597	270
930	3601	266
931	3605	263
932	3608	259
933	3612	255
934	3615	251
935	3618	247
936	3623	243
937	3627	239
938	3631	235
939	3635	232
940	3640	228
941	3645	224
942	3649	220
943	3652	216
944	3656	212
945	3659	208
946	3662	205
947	3666	201
948	3669	197
949	3673	193
950	3677	189
951	3680	185
952	3684	181
953	3687	177
954	3691	173
955	3694	170
956	3698	166
957	3701	162
958	3705	158
959	3708	154
960	3711	150
961	3715	146
962	3718	142
963	3722	139
964	3726	135
965	3729	131
966	3732	127
967	3736	123
968	3740	119
969	3743	115
970	3747	111
971	3750	108
972	3753	104
973	3757	100
974	3760	96
975	3764	92
976	3767	88
977	3771	84
978	3775	80
979	3778	77
980	3781	73
981	3784	69
982	3788	65
983	3791	61
984	3794	57
985	3798	53
986	3802	50
987	3806	46
988	3809	42
989	3812	38
990	3815	34
991	3819	30
992	3823	26
993	3826	23
994	3829	19
995	3833	15
996	3837	11
997	3840	7
998	3844	3
999	3847	0
